,hex_id,float_value,value,is_true,empty,time
79,8fa90cadc318455,196.969697,196,True,,2023-11-29 18:12:52.569381
80,8fa90cadd144cc2,196.6666667,196,True,,2023-11-29 18:12:52.569381
81,8fa90cadc318455,194.4444444,194,True,,2023-11-29 18:12:52.569381
82,8fa90cac319e3a3,194.0639269,194,True,,2023-11-29 18:12:52.569381
83,8fa90cadccf46a1,191.7177914,191,True,,2023-11-29 18:12:52.569381
84,8fa90cadc424820,191.6126998,191,True,,2023-11-29 18:12:52.569381
85,8fa90cadd36a450,190.578286,190,True,,2023-11-29 18:12:52.569381
86,8fa90cadc318455,188.8888889,188,True,,2023-11-29 18:12:52.569381
87,8fa90cadc318455,188.8888889,188,True,,2023-11-29 18:12:52.569381
88,8fa90cadc318455,186.1111111,186,True,,2023-11-29 18:12:52.569381
89,8fa90cadd8db32d,183.3333333,183,True,,2023-11-29 18:12:52.569381
90,8fa90cac32e480a,182.5665942,182,True,,2023-11-29 18:12:52.569381
91,8fa90cadcc56495,181.2881256,181,True,,2023-11-29 18:12:52.569381
92,8fa90cadc318455,180.8176101,180,True,,2023-11-29 18:12:52.569381
93,8fa90cadc315b89,179.7297297,179,True,,2023-11-29 18:12:52.569381
94,8fa90cadd048785,177.75283,177,True,,2023-11-29 18:12:52.569381
95,8fa90cadc318455,177.0833333,177,True,,2023-11-29 18:12:52.569381
96,8fa90cadc318455,176.3884466,176,True,,2023-11-29 18:12:52.569381
97,8fa90cadd8db32d,175.7849474,175,True,,2023-11-29 18:12:52.569381
98,8fa90cadc0a80a1,173.3570948,173,True,,2023-11-29 18:12:52.569381
99,8fa90cadd81d774,170.4513172,170,True,,2023-11-29 18:12:52.569381
100,8fa90cace446b43,166.6666667,166,True,,2023-11-29 18:12:52.569381
101,8fa90cadd36a450,162.037037,162,True,,2023-11-29 18:12:52.569381
102,8fa90cad8ca6cc8,161.1111111,161,True,,2023-11-29 18:12:52.569381
103,8fa90cac3616282,160.0922131,160,True,,2023-11-29 18:12:52.569381
104,8fa90cadc315b89,157.4965046,157,True,,2023-11-29 18:12:52.569381
105,8fa90cadd8db32d,150.0,150,True,,2023-11-29 18:12:52.569381
106,8fa90cadc318455,140.0,140,True,,2023-11-29 18:12:52.569381
107,8fa90cadc393a68,128.0,128,True,,2023-11-29 18:12:52.569381
108,8fa90cadcc66ade,108.0246914,108,True,,2023-11-29 18:12:52.569381
109,8fa90cadc61a2de,91.81598241,91,True,,2023-11-29 18:12:52.569381
110,8fa90cac8a8236a,77.77777778,77,True,,2023-11-29 18:12:52.569381
